feature,mean_abs_coefficient,max_abs_coefficient
num__arbk_aktiviteti_1_kodinace,1.9859664489834845,4.037767898580531
num__capital_to_sale_price_ratio_is_outlier_iqr,0.9399901100414451,1.3984867212488248
cat__arbk_aktiviteti_1_pershkrimi_Ndërtimi i objekteve banesore dhe jobanesore,0.8114313473066574,2.2786913889996776
num__arbk_pronari_1_kapitali_is_outlier_iqr,0.798508940185326,1.2387029852779272
num__arbk_aktiviteti_1_kodinace_is_outlier_iqr,0.697310025129488,1.427490144990487
cat__arbk_aktiviteti_1_pershkrimi___rare__,0.6141470035455708,1.2694154126314647
num__arbk_numripunetoreve,0.5131963267748652,1.1447444245043772
num__arbk_kapitali_was_missing,0.4673345439556235,0.9461547560660919
num__arbk_aktiviteti_2_kodinace,0.46127758680896314,1.4081918254497399
cat__arbk_statusiarbk_Pasiv-09/06/2022,0.4577859668105239,0.8380703087657281
cat__zona_kadastrale___rare__,0.41239127130402503,0.9774831454039393
cat__arbk_statusiarbk_Regjistruar,0.4113031012755796,0.6925929331803083
num__business_age_years_at_sale,0.41081501849784496,0.8829605459590847
num__business_age_days_at_sale,0.41081501849783947,0.8829605459590737
cat__arbk_aktiviteti_1_pershkrimi_Aktivitete tjera,0.37849432416257095,1.7051182960400892
cat__qytet_apo_fshat_lokacioni_i_asetit_te_shitur_Qytet,0.3673951275574104,1.119142008937256
cat__arbk_aktiviteti_2_pershkrimi___rare__,0.35555348682020843,0.7969722571804493
cat__eshte_shitur_si_ndermarrje_e_re_apo_aset_ne_likuidim_Aset në likuidim,0.34784843816113575,0.8986677654413866
cat__arbk_aktiviteti_2_pershkrimi_Aktivitete tjera,0.3476895459749409,0.8782450750326259
cat__menyra_e_shitjes_spin off i rregullt,0.34013392517576163,0.6212749259332812
cat__komuna_lokacioni_i_asetit_te_shitur_Gjakovë,0.3350451473422276,0.8910529043834401
num__contract_month,0.33385122935173533,0.9413534515699017
"cat__total_area_m2_bin_(90.907, 448.4]",0.33074996730353307,0.6038572355173486
cat__rajoni_akp_Prizren,0.32859871927692513,0.7731554868113616
cat__kategoria_e_asetit_depo,0.3228566137994402,0.6939104338891311
num__arbk_aktiviteti_3_kodinace_is_outlier_iqr,0.31521656851072577,0.8657373154752065
num__arbk_aktiviteti_2_kodinace_is_outlier_iqr,0.31332506167015356,0.6447984699359143
cat__kategoria_e_asetit_lokal,0.3123411942935153,1.0802723040010676
cat__asset_structure_type_object_only,0.31020965109109383,0.6618331858262487
cat__eshte_shitur_si_ndermarrje_e_re_apo_aset_ne_likuidim_Aset në likuidim (i konvertuar nga qira),0.3099326984564324,0.8111940016192751
"cat__siperfaqja_e_objektit_nese_ka_objekt_te_toka_dhe_dihet_siperfaqja_m2_bin_(1.0, 62.0]",0.30945019751892316,0.7354447280206193
cat__komuna_lokacioni_i_asetit_te_shitur_Prishtinë,0.2973794705759358,0.9529997956699052
cat__rajoni_akp_Mitrovica,0.2936280987918951,0.6440498101081656
"cat__price_per_total_m2_bin_(58.665, 450.155]",0.2819224405072949,0.5356846209366809
cat__komuna_lokacioni_i_asetit_te_shitur_Graçanicë,0.2800012433334595,0.665692868492358
"cat__total_area_m2_bin_(448.4, 5242.0]",0.2786277463786743,0.7931117124565896
num__price_per_land_m2_is_outlier_iqr,0.2757963506255637,0.6196005087362807
cat__arbk_aktiviteti_1_pershkrimi_Kultivimi i drithërave (përveç orizit) i bimëve bishtajore dhe i farërave vajore,0.2741226029596969,0.9718021624506342
cat__komuna_lokacioni_i_asetit_te_shitur_Deçan,0.26823222333247587,0.8777950480731355
"cat__cmimi_i_shitjes_se_asetit_bin_(40444.0, 90970.333]",0.2656104601606185,0.6892277684625485
"cat__log_sale_price_bin_(10.608, 11.418]",0.2656104601606185,0.6892277684625485
cat__rajoni_akp_Peja,0.26557379348706,0.7451062967320495
cat__komuna_lokacioni_i_asetit_te_shitur_Pejë,0.26484288963108366,0.5735464204240591
cat__asset_structure_type_unknown_asset_type,0.2642768378811164,0.6648281627090187
"cat__total_area_m2_bin_(22.167, 90.907]",0.263351559562802,0.5227235506811493
cat__kategoria_e_asetit_ndërtesë administrative DHE tokë,0.26308134811757716,0.5595209050962519
cat__arbk_statusiarbk___rare__,0.26237205911530004,0.9352395636360975
cat__arbk_aktiviteti_1_pershkrimi_Prodhimi i bukës simiteve dhe ëmbëlsirave të freskëta,0.25526199124186727,1.3625224659472386
"cat__price_per_land_m2_bin_(5.538, 70.68]",0.253622407918208,0.4933382896358824
cat__kategoria_e_asetit_Tokë bujqësore,0.25319285468125,0.6869094405108895
cat__komuna_lokacioni_i_asetit_te_shitur_Skenderaj,0.25240889661076965,0.7127386947428536
"cat__siperfaqja_e_tokes_ne_metra_katror_bin_(-0.001, 185.0]",0.2522572143184408,0.7737561443665193
num__contract_quarter,0.24986318372003316,0.5446886141487418
cat__menyra_e_shitjes_Aset në likuidim,0.24586188169690823,0.6238905679963398
cat__zona_kadastrale_Prishtinë,0.24420394847376872,0.6408728609304626
num__has_object,0.2440510506515462,0.5945615974276695
cat__rajoni_akp_Prishtina,0.2427114233510197,0.6028870427475282
num__siperfaqja_e_objektit_nese_ka_objekt_te_toka_dhe_dihet_siperfaqja_m2_is_outlier_iqr,0.2403928994191086,0.870473551774092
"cat__price_per_land_m2_bin_(-0.001, 0.35]",0.23798218453121847,0.4787329977994075
cat__komuna_lokacioni_i_asetit_te_shitur_Prizren,0.2362688722539302,0.573179255217368
"cat__cmimi_i_shitjes_se_asetit_bin_(260667.0, 30100000.0]",0.23243982619666612,0.6219797022717045
"cat__log_sale_price_bin_(12.471, 17.22]",0.23243982619666612,0.6219797022717045
cat__komuna_lokacioni_i_asetit_te_shitur_Ferizaj,0.23201057781961074,0.6487809134617698
"cat__price_per_object_m2_bin_(333.787, 1339.762]",0.22955600291267994,0.7336604649869845
cat__arbk_aktiviteti_2_pershkrimi_Ndërtimi i objekteve banesore dhe jobanesore,0.2274419657277874,0.7696956128327974
"cat__price_per_object_m2_bin_(1339.762, 40713.75]",0.22653112463946481,0.4198332750198495
cat__komuna_lokacioni_i_asetit_te_shitur_Vushtrri,0.22061133979908457,0.6126871872210532
"cat__siperfaqja_e_tokes_ne_metra_katror_bin_(185.0, 4198.333]",0.21888299281122234,0.3938349748089102
"cat__siperfaqja_e_objektit_nese_ka_objekt_te_toka_dhe_dihet_siperfaqja_m2_bin_(-0.001, 1.0]",0.2188517846511746,0.5269032555879365
cat__asset_structure_type_land_only,0.2184518969825303,0.5644324064959192
"cat__total_area_m2_bin_(5242.0, 34001.893]",0.21826678552793766,0.5169498825301362
"cat__price_per_object_m2_bin_(-0.001, 1.854]",0.21806753264308498,0.42506149647988073
cat__asset_structure_type_mixed_asset,0.21724873932763644,0.5525520913127918
num__log_sale_price,0.21693468479356678,0.4984518201799151
cat__menyra_e_shitjes_aset në likuidim,0.21690894215305953,0.39663111027099945
cat__komuna_lokacioni_i_asetit_te_shitur_Kaçanik,0.21596425102729033,0.5698787526072026
"cat__price_per_total_m2_bin_(0.429, 6.542]",0.21550666079681902,0.597197904809959
cat__komuna_lokacioni_i_asetit_te_shitur_Suharekë,0.21335861055107494,0.80946229111291
"cat__price_per_total_m2_bin_(1231.975, 81600.0]",0.21083657785446633,0.5667464584495301
num__is_land_only,0.21064339507413496,0.45937940036019903
cat__arbk_aktiviteti_2_pershkrimi_Ndërtimi i rrugëve dhe autostradave,0.2105261153385809,0.6989955995908801
"cat__siperfaqja_e_objektit_nese_ka_objekt_te_toka_dhe_dihet_siperfaqja_m2_bin_(62.0, 270.133]",0.2103119658992992,0.40872611592453223
"cat__price_per_total_m2_bin_(-0.001, 0.429]",0.20747767150339383,0.3914718630656432
num__area_price_interaction,0.20673833356914062,0.5332674379321649
cat__eshte_shitur_si_ndermarrje_e_re_apo_aset_ne_likuidim_Ndërmarrje e Re,0.2065891033325944,0.5001239305399842
num__cmimi_i_shitjes_se_asetit,0.20640068210964968,0.5355394156728764
cat__menyra_e_shitjes_negociata direkte - ndërtime,0.20397597606426773,0.506403266041563
