feature,importance
num__contract_year,0.06336010773403199
num__cmimi_i_shitjes_se_asetit,0.06243947016418853
num__log_sale_price,0.06236599708886436
num__price_per_total_m2,0.06180679608129975
num__total_area_m2,0.05203213856602021
num__contract_month,0.04975271658081492
num__area_price_interaction,0.04959968746786441
num__siperfaqja_e_tokes_ne_metra_katror,0.04000293380318297
num__price_per_land_m2,0.03842462486949494
num__price_per_object_m2,0.03378674183772056
num__siperfaqja_e_objektit_nese_ka_objekt_te_toka_dhe_dihet_siperfaqja_m2,0.0326886217823279
num__contract_quarter,0.018371361548153307
cat__kategoria_e_asetit_depo,0.018264806037173616
cat__komuna_lokacioni_i_asetit_te_shitur_Dragash,0.013082870886484497
num__object_to_land_ratio,0.012282682953490356
cat__komuna_lokacioni_i_asetit_te_shitur_Skenderaj,0.012103772837998628
cat__rajoni_akp_Prizreni,0.009329186320284696
cat__rajoni_akp_Prishtina,0.008096777624444993
"cat__log_sale_price_bin_(10.608, 11.418]",0.00802994902288574
cat__komuna_lokacioni_i_asetit_te_shitur_Graçanicë,0.00797566691166119
"cat__cmimi_i_shitjes_se_asetit_bin_(40444.0, 90970.333]",0.007912444745169389
cat__eshte_shitur_si_ndermarrje_e_re_apo_aset_ne_likuidim_Aset në likuidim,0.0077916998186254825
cat__eshte_shitur_si_ndermarrje_e_re_apo_aset_ne_likuidim_Ndërmarrje e Re,0.007525026666177523
cat__komuna_lokacioni_i_asetit_te_shitur_Gjakovë,0.007365596708185617
cat__zona_kadastrale___rare__,0.0069757145865002096
cat__komuna_lokacioni_i_asetit_te_shitur_Prishtinë,0.006941874576718342
cat__eshte_shitur_si_ndermarrje_e_re_apo_aset_ne_likuidim_Aset në likuidim (i konvertuar nga qira),0.006677057051789593
cat__kategoria_e_asetit_Tokë bujqësore,0.006354582087998889
cat__menyra_e_shitjes_spin off i rregullt,0.006263608671918031
"cat__price_per_total_m2_bin_(58.665, 450.155]",0.006078678849596385
cat__komuna_lokacioni_i_asetit_te_shitur___rare__,0.006064065744728722
cat__asset_structure_type_mixed_asset,0.006059098805650541
cat__rajoni_akp_Peja,0.006013877084513951
cat__zona_kadastrale_GJAKOVË-QYTET,0.005549691067458796
cat__menyra_e_shitjes_aset në likuidim,0.0053696587042721235
"cat__total_area_m2_bin_(90.907, 448.4]",0.005347667480362299
cat__rajoni_akp_Mitrovica,0.005221581668856615
cat__komuna_lokacioni_i_asetit_te_shitur_Vushtrri,0.005110710755023661
cat__zona_kadastrale_Fushë Kosovë,0.0049454581140149405
cat__komuna_lokacioni_i_asetit_te_shitur_Pejë,0.004928643762428188
cat__zona_kadastrale_Prishtinë,0.004890153236049114
"cat__price_per_object_m2_bin_(333.787, 1339.762]",0.00467885436503923
cat__rajoni_akp_Gjilan,0.004570525618059306
cat__qytet_apo_fshat_lokacioni_i_asetit_te_shitur_Fshat,0.004233589996970045
"cat__siperfaqja_e_tokes_ne_metra_katror_bin_(4198.333, 32338.333]",0.00420846854698857
"cat__total_area_m2_bin_(5242.0, 34001.893]",0.004149254993381195
cat__qytet_apo_fshat_lokacioni_i_asetit_te_shitur_Qytet,0.004025944023775528
cat__komuna_lokacioni_i_asetit_te_shitur_Lipjan,0.0040110230048328675
cat__rajoni_akp_Prizren,0.003928627315065588
cat__asset_structure_type_object_only,0.003878647041275229
cat__komuna_lokacioni_i_asetit_te_shitur_Suharekë,0.003439033293356653
cat__kategoria_e_asetit___rare__,0.0033795751441569742
cat__komuna_lokacioni_i_asetit_te_shitur_Klinë,0.003311226806740597
cat__kategoria_e_asetit_zyre,0.003304633972228097
cat__menyra_e_shitjes_Aset në likuidim,0.003272606270104402
"cat__zona_kadastrale_Rr. Ilaz Agushi, p.n Prishtinë",0.00323248070805094
cat__komuna_lokacioni_i_asetit_te_shitur_Viti,0.0031504101796013197
"cat__price_per_total_m2_bin_(450.155, 1231.975]",0.0031334611927369836
cat__komuna_lokacioni_i_asetit_te_shitur_Istog,0.003115546487625992
"cat__log_sale_price_bin_(9.98, 10.608]",0.0031149028184776833
"cat__siperfaqja_e_tokes_ne_metra_katror_bin_(185.0, 4198.333]",0.003085688018830802
num__siperfaqja_e_objektit_nese_ka_objekt_te_toka_dhe_dihet_siperfaqja_m2_is_outlier_iqr,0.002974386083725974
"cat__log_sale_price_bin_(8.938, 9.98]",0.002928365242164483
cat__komuna_lokacioni_i_asetit_te_shitur_Prizren,0.0029086108302674107
"cat__total_area_m2_bin_(22.167, 90.907]",0.002878103339019262
"cat__siperfaqja_e_objektit_nese_ka_objekt_te_toka_dhe_dihet_siperfaqja_m2_bin_(62.0, 270.133]",0.0028747719413447148
cat__komuna_lokacioni_i_asetit_te_shitur_Ferizaj,0.002842758023548345
"cat__price_per_land_m2_bin_(5.538, 70.68]",0.0028363711737893803
"cat__cmimi_i_shitjes_se_asetit_bin_(21583.333, 40444.0]",0.002811310451995885
"cat__log_sale_price_bin_(11.418, 12.471]",0.002759644046496941
"cat__price_per_land_m2_bin_(0.35, 5.538]",0.0027299568975002126
"cat__cmimi_i_shitjes_se_asetit_bin_(7618.267, 21583.333]",0.0026588447721691082
cat__komuna_lokacioni_i_asetit_te_shitur_Fushë Kosovë,0.0026584593457223533
"cat__price_per_total_m2_bin_(6.542, 58.665]",0.0026346238616678456
cat__kategoria_e_asetit_ndërtesë administrative DHE tokë,0.0026204638832538806
cat__komuna_lokacioni_i_asetit_te_shitur_Mitrovica e Jugut,0.002614059911809018
cat__kategoria_e_asetit_fabrikë,0.0025691791201576395
cat__kategoria_e_asetit_lokal,0.0025528976186196106
"cat__price_per_object_m2_bin_(1.854, 333.787]",0.0025154479632193937
cat__menyra_e_shitjes_negociata direkte - ndërtime,0.002510257607443198
cat__kategoria_e_asetit_tokë bujqësore,0.0024692225265822688
"cat__cmimi_i_shitjes_se_asetit_bin_(90970.333, 260667.0]",0.0024114208370985867
num__siperfaqja_e_objektit_nese_ka_objekt_te_toka_dhe_dihet_siperfaqja_m2_was_missing,0.0023825791609132104
"cat__total_area_m2_bin_(448.4, 5242.0]",0.002301817515285765
num__raw_has_object_area,0.0021465825496593833
cat__komuna_lokacioni_i_asetit_te_shitur_Gllogoc,0.00198838979411684
"cat__price_per_total_m2_bin_(0.429, 6.542]",0.00198431526914215
cat__zona_kadastrale_Pejë,0.0019796248365497805
cat__komuna_lokacioni_i_asetit_te_shitur_Kaçanik,0.0019518731299478123
"cat__siperfaqja_e_objektit_nese_ka_objekt_te_toka_dhe_dihet_siperfaqja_m2_bin_(270.133, 71805.0]",0.0019049919383872507
cat__zona_kadastrale_MATIÇAN,0.0018557833697832322
cat__komuna_lokacioni_i_asetit_te_shitur_Kamenicë,0.0017768572935530308
cat__kategoria_e_asetit_tokë komerciale,0.0017608193884089834
num__price_per_land_m2_is_outlier_iqr,0.0017412448248754285
cat__kategoria_e_asetit_depo dhe tokë,0.0017320039758383127
num__area_data_completeness_score,0.0017049927542873268
cat__zona_kadastrale_Mitrovicë,0.0016951189685633918
cat__asset_structure_type_unknown_asset_type,0.0016873423420301925
"cat__price_per_land_m2_bin_(70.68, 81600.0]",0.0015991720244869362
cat__komuna_lokacioni_i_asetit_te_shitur_Gjilan,0.001549755757188561
"cat__zona_kadastrale_Zona Industriale, Prishtine",0.0015120914810713207
cat__kategoria_e_asetit_tokë ndërtimore,0.0015038303294527024
num__has_object,0.0014758920980470283
cat__zona_kadastrale_Ferizaj,0.0014713533580352949
cat__komuna_lokacioni_i_asetit_te_shitur_Deçan,0.0014648739035510554
cat__zona_kadastrale_Ulpiana,0.0014574725633707472
cat__asset_structure_type_land_only,0.001438733759567741
"cat__price_per_total_m2_bin_(-0.001, 0.429]",0.0013787912707208777
"cat__cmimi_i_shitjes_se_asetit_bin_(179.999, 7618.267]",0.0013722517485502354
num__is_land_only,0.001366503778919717
"cat__price_per_object_m2_bin_(1339.762, 40713.75]",0.0013331949777972314
"cat__price_per_land_m2_bin_(-0.001, 0.35]",0.0012820200143591287
"cat__log_sale_price_bin_(12.471, 17.22]",0.0012637387449813422
cat__komuna_lokacioni_i_asetit_te_shitur_Rahovec,0.001263645684515955
"cat__cmimi_i_shitjes_se_asetit_bin_(260667.0, 30100000.0]",0.0012460062998354406
cat__zona_kadastrale_Rahovec,0.0012435475817105647
cat__rajoni_akp___rare__,0.0012400840195012032
num__is_high_value_asset,0.001184024654980451
"cat__siperfaqja_e_tokes_ne_metra_katror_bin_(-0.001, 185.0]",0.0011230611224772537
cat__kategoria_e_asetit_Lokal,0.001112446266936871
"cat__siperfaqja_e_objektit_nese_ka_objekt_te_toka_dhe_dihet_siperfaqja_m2_bin_(1.0, 62.0]",0.0010893830036867824
cat__kategoria_e_asetit_ndërtesë administrative dhe tokë,0.0010627617535714185
"cat__log_sale_price_bin_(5.197, 8.938]",0.0010317734318438234
cat__komuna_lokacioni_i_asetit_te_shitur_Podujevë,0.001028858665200385
num__total_area_m2_is_outlier_iqr,0.001001285707453461
num__siperfaqja_e_tokes_ne_metra_katror_is_outlier_iqr,0.0009643910334759454
cat__zona_kadastrale_Prizren,0.0009549581415797336
cat__zona_kadastrale_Gjilan,0.0009457180699121124
cat__komuna_lokacioni_i_asetit_te_shitur_Mitrovica e Veriut,0.0009335597967318494
"cat__price_per_total_m2_bin_(1231.975, 81600.0]",0.0008769909185023091
cat__komuna_lokacioni_i_asetit_te_shitur_Mitrovicë e Jugut,0.0008480752349732849
"cat__siperfaqja_e_tokes_ne_metra_katror_bin_(32338.333, 11572721.0]",0.0008412825005684577
"cat__siperfaqja_e_objektit_nese_ka_objekt_te_toka_dhe_dihet_siperfaqja_m2_bin_(-0.001, 1.0]",0.000813551869803019
"cat__total_area_m2_bin_(-0.001, 22.167]",0.000789757190129511
cat__qytet_apo_fshat_lokacioni_i_asetit_te_shitur___rare__,0.0007349129769999106
"cat__total_area_m2_bin_(34001.893, 11575447.0]",0.0007016633846610258
"cat__price_per_object_m2_bin_(-0.001, 1.854]",0.000693291573928034
cat__kategoria_e_asetit_asete të luajtshme,0.0006868796753548581
cat__kategoria_e_asetit_lokal DHE tokë,0.0006860299110228374
num__siperfaqja_e_tokes_ne_metra_katror_was_missing,0.0006712596688493324
num__is_large_land,0.0006659875629469094
cat__menyra_e_shitjes_negociata direkte - karakter tjetër specifik,0.0006532640900089167
cat__zona_kadastrale_Istog,0.0006439652042721458
cat__komuna_lokacioni_i_asetit_te_shitur_Obiliq,0.0006256586396434353
num__data_e_kontrates_was_missing,0.0005845152050527963
cat__zona_kadastrale_Skënderaj,0.0005674591244829394
cat__kategoria_e_asetit_lokal dhe tokë,0.0005604607866112688
num__raw_has_land_area,0.000544304111403261
cat__zona_kadastrale_Vushtrri,0.0005432349027163131
cat__kategoria_e_asetit_kioska,0.0005397517489930035
cat__zona_kadastrale_PRISHTINË,0.0005100646144242317
cat__zona_kadastrale_Suharekë,0.0004963131305889682
cat__komuna_lokacioni_i_asetit_te_shitur_Shtërpcë,0.0004769976034414995
cat__qytet_apo_fshat_lokacioni_i_asetit_te_shitur_fshat,0.0004520975659158183
cat__menyra_e_shitjes___rare__,0.0004283041304511106
cat__kategoria_e_asetit_pompë benzine,0.0003182438801149809
cat__komuna_lokacioni_i_asetit_te_shitur_Mitrovicë e Veriut,0.0002694694073692434
cat__zona_kadastrale_Podujevë,0.00011923965259591261
num__cmimi_i_shitjes_se_asetit_was_missing,0.0
