feature,importance
cat__arbk_aktiviteti_1_pershkrimi_Aktivitete tjera,0.11255558018801468
num__arbk_aktiviteti_1_kodinace_is_outlier_iqr,0.09437627091486603
num__arbk_kapitali,0.05504227156229261
num__capital_to_sale_price_ratio,0.05374756941407472
cat__arbk_aktiviteti_1_pershkrimi_Ndërtimi i objekteve banesore dhe jobanesore,0.05276905753752815
cat__arbk_aktiviteti_1_pershkrimi___rare__,0.04483306036632678
cat__arbk_aktiviteti_1_pershkrimi_Kultivimi i drithërave (përveç orizit) i bimëve bishtajore dhe i farërave vajore,0.04254853136819189
num__business_age_years_at_sale,0.028877687689067323
num__business_age_days_at_sale,0.027576170771114333
num__price_per_total_m2,0.02154416620963706
num__total_area_m2,0.020244033053842234
num__arbk_pronari_1_kapitali,0.020219798215763796
num__arbk_numripunetoreve,0.017030262306059266
num__siperfaqja_e_tokes_ne_metra_katror,0.015338886479203047
cat__arbk_statusiarbk_Pasiv-09/06/2022,0.015215018254070917
num__price_per_land_m2,0.014264584513167165
num__log_sale_price,0.014214944680903521
num__contract_year,0.013993714165127694
num__cmimi_i_shitjes_se_asetit,0.013610130474838222
num__area_price_interaction,0.012880403315247601
num__arbk_pronari_1_kapitali_is_outlier_iqr,0.012699247194419406
cat__arbk_aktiviteti_2_pershkrimi_Aktivitete tjera,0.012602844418955513
num__contract_month,0.012532073150084732
cat__arbk_statusiarbk___rare__,0.01250805779277418
cat__arbk_aktiviteti_1_pershkrimi_Rritja e gjedheve për qumësht,0.011428247609981297
num__siperfaqja_e_objektit_nese_ka_objekt_te_toka_dhe_dihet_siperfaqja_m2,0.01075455355947403
num__price_per_object_m2,0.009449910664427288
num__capital_to_sale_price_ratio_is_outlier_iqr,0.009441010516533172
cat__arbk_aktiviteti_2_pershkrimi___rare__,0.008938371734494844
cat__arbk_statusiarbk_Regjistruar,0.008910496114889328
num__arbk_aktiviteti_2_kodinace_is_outlier_iqr,0.00784101960920575
num__arbk_kapitali_was_missing,0.006292787879826427
num__arbk_aktiviteti_3_kodinace_is_outlier_iqr,0.004408368251725295
num__contract_quarter,0.00440288349094134
cat__rajoni_akp_Peja,0.0042513679796083986
